category,method,path,controller,action,status,new_backend_equiv_or_note
1-AUTH,GET,/transactionsPaymet,Auth,transactionsPaymet,TODO,
1-AUTH,GET,/admin,Auth,login,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/admin,Auth,postLogin,EXISTS,/api/auth/login + /api/admin/auth/login
1-AUTH,GET,/forgot-password,Auth,forgotPassword,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/forgot-password,Auth,forgotPasswordSendMail,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/reset-password/:token,Auth,resetPassword,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/reset-password/:token,Auth,postResetPassword,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/logout,Auth,logout,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,GET,/register,Auth,register,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,GET,/profile,Auth,profile,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/profile/update,Auth,profileUpdate,TODO,Review Auth action
1-AUTH,POST,/profile/changePwd,Auth,changePassword,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/changeAvatar,Auth,changeAvatar,TODO,Avatar upload not in new backend — low priority
1-AUTH,POST,/profile/changeSmsUsrPwd,Auth,changeSmsUsrPwd,MANGLER,SMS user pwd change missing
1-AUTH,POST,/profile/updateLanguage,Auth,updateLanguage,TODO,Language setting not in new backend — low priority
1-AUTH,GET,/agent/profile,Auth,agentProfile,TODO,
1-AUTH,POST,/profile/agent/update,Auth,agentProfileUpdate,TODO,Review Auth action
1-AUTH,POST,/profile/agent/changePwd,Auth,agentChangePassword,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/agent/changeAvatar,Auth,agentChangeAvatar,TODO,Avatar upload not in new backend — low priority
1-AUTH,POST,/profile/agent/updateLanguage,Auth,agentUpdateLanguage,TODO,Language setting not in new backend — low priority
6-ADMIN-OPS,GET,/dashboard,Dashboard,home,NOT-NEEDED,HTML index page
6-ADMIN-OPS,GET,/dashboardChart/getMonthlyPlayedGameChart,Dashboard,getMonthlyPlayedGameChart,MANGLER,Dashboard chart data not ported
6-ADMIN-OPS,GET,/dashboardChart/getGameUsageChart,Dashboard,getGameUsageChart,MANGLER,Dashboard chart data not ported
6-ADMIN-OPS,GET,/dashboard/gameHistory,Dashboard,gameHistory,TODO,
6-ADMIN-OPS,GET,/dashboard/getTopPlayers/:id,Dashboard,getTopPlayers,MANGLER,Dashboard chart data not ported
6-ADMIN-OPS,GET,/dashboard/ongoingGames/:gameType,Dashboard,ongoingGames,TODO,
7-AGENT,GET,/agent,AgentController,agent,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/getAgent,AgentController,getAgent,AGENT-DOMENE,BIN-583
7-AGENT,GET,/addAgent,AgentController,addAgent,AGENT-DOMENE,BIN-583
7-AGENT,POST,/addAgent,AgentController,addAgentPostData,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/getAgentDelete,AgentController,getAgentDelete,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agentEdit/:id/,AgentController,editAgent,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agentEdit/:id,AgentController,editAgentPostData,AGENT-DOMENE,BIN-583
1-AUTH,GET,/adminUser,AdminController,admin,TODO,
1-AUTH,GET,/admin/getAdmin,AdminController,getAdmin,TODO,
1-AUTH,GET,/addAdmin,AdminController,addAdmin,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/addAdmin,AdminController,addAdminPostData,MANGLER,Admin user mgmt missing
1-AUTH,POST,/admin/getAdminDelete,AdminController,getAdminDelete,MANGLER,Admin user mgmt missing
1-AUTH,GET,/adminEdit/:id/,AdminController,editAdmin,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/adminEdit/:id,AdminController,editAdminPostData,MANGLER,Admin user mgmt missing
1-AUTH,GET,/editRole/:id,AdminController,editRole,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/adminRoleUpdate/:id,AdminController,updateRole,MANGLER,Admin user mgmt missing
5-WALLET,GET,/agent/cashinout,CashInOutController,cashInOutPage,TODO,
5-WALLET,GET,/sold-tickets,CashInOutController,soldTickets,TODO,
5-WALLET,GET,/sold-tickets/get,CashInOutController,getSoldTickets,MANGLER,Sold-tickets / cashinout views missing
2-PLAYER,GET,/loyalty,LoyaltyController,loyalty,NOT-NEEDED,HTML index page
2-PLAYER,GET,/loyalty/getLoyalty,LoyaltyController,getLoyalty,TODO,
2-PLAYER,GET,/addLoyalty,LoyaltyController,addLoyalty,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/addLoyalty,LoyaltyController,addLoyaltyPostData,MANGLER,Loyalty admin missing
2-PLAYER,POST,/loyalty/getLoyaltyDelete,LoyaltyController,loyaltyDelete,MANGLER,Loyalty admin missing
2-PLAYER,GET,/loyaltyEdit/:id/,LoyaltyController,editLoyalty,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/loyaltyEdit/:id,LoyaltyController,editLoyaltyPostData,MANGLER,Loyalty admin missing
2-PLAYER,GET,/loyaltyManagement,LoyaltyController,loyaltyManagement,TODO,
2-PLAYER,GET,/loyalty/getPlayerLoyalty,LoyaltyController,getPlayerLoyalty,TODO,
2-PLAYER,GET,/viewLoyaltyPlayer/:id,LoyaltyController,viewLoyaltyPlayer,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/getPatternMenu,patternController,viewPatternMenu,MANGLER,Pattern admin missing
3-GAMEPLAY,GET,/patternGameDetailList/:id,patternController,viewGamePatternList,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/getPatternDetailList,patternController,getPatternDetailList,MANGLER,Pattern management admin missing
3-GAMEPLAY,GET,/addPattern/:id,patternController,addPattern,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addPattern/:typeId/:type/:slug,patternController,addPatternPostData,MANGLER,Pattern admin missing
3-GAMEPLAY,GET,/patternEdit/:typeId/:id,patternController,editPattern,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/patternEdit/:typeId/:id,patternController,editPatternPostData,MANGLER,Pattern admin missing
3-GAMEPLAY,POST,/getPatternDelete,patternController,getPatternDelete,MANGLER,Pattern admin missing
3-GAMEPLAY,GET,/viewPattern/:typeId/:id,patternController,viewPatternDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/checkForPatternName,patternController,checkForPatternName,MANGLER,Pattern admin missing
3-GAMEPLAY,GET,/gameType,GameController,gameType,TODO,
3-GAMEPLAY,GET,/gameType/getGameType,GameController,getGameType,TODO,
3-GAMEPLAY,GET,/addGameType,GameController,addGameType,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
